title,key_attributes,price,lead_time
Best quality AC units Portable Air Conditioners 7000BTU mini Mobile air conditioner,"{'Warranty': '1 Year', 'Cooling/Heating': 'Cooling/Heating', 'Application': 'Hotel, Commercial, Household', 'Power Source': 'Electric', 'App-Controlled': 'Yes', 'Fixed Frequency/Variable Frequency': 'Variable frequency', 'Place of Origin': 'Guangdong, China', 'Capacity (btu)': '7000', 'EER': '2.6', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'logo/pattern': 'Customized', 'Brand Name': 'OEM', 'Model Number': 'A007I-07', 'COP': '2.7', 'Power (W)': '780', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '240', 'Type': 'PORTABLE', 'Operating Language': 'English', 'Remote Control': 'Yes', 'Featured Function': 'Cooling/Heating/Dehumidifier/Fan', 'Recommended Room Size（square feet）': '10-16 m2', 'Private Mold': 'Yes', 'Refrigerant': 'R290 or R410A', 'Application area': '10-16 m2', 'Noise Level': '50dB(A)', 'EER class': 'A', 'Product weight': '20.5 Kgs', 'Fan speed': '2', 'Functions': 'Cooling/Heating/Dehumidifier/Fan', 'Moisture Removed': '0.8L/H', 'Certification': 'CB.ce.EMC.GS.RoHS', 'Selling Units:': 'Single item', 'Single package size:': '37X32X88 cm', 'Single gross weight:': '22.000 kg'}","{'216 - 673 pieces': '$120.50', '>= 674 pieces': '$116.85'}","{'1 - 674': '30', '> 674': 'To be negotiated'}"
Best quality AC units Portable Air Conditioners 7000BTU mini Mobile air conditioner,"{'Warranty': '1 Year', 'Cooling/Heating': 'Cooling/Heating', 'Application': 'Hotel, Commercial, Household', 'Power Source': 'Electric', 'App-Controlled': 'Yes', 'Fixed Frequency/Variable Frequency': 'Variable frequency', 'Place of Origin': 'Guangdong, China', 'Capacity (btu)': '7000', 'EER': '2.6', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'logo/pattern': 'Customized', 'Brand Name': 'OEM', 'Model Number': 'A007I-07', 'COP': '2.7', 'Power (W)': '780', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '240', 'Type': 'PORTABLE', 'Operating Language': 'English', 'Remote Control': 'Yes', 'Featured Function': 'Cooling/Heating/Dehumidifier/Fan', 'Recommended Room Size（square feet）': '10-16 m2', 'Private Mold': 'Yes', 'Refrigerant': 'R290 or R410A', 'Application area': '10-16 m2', 'Noise Level': '50dB(A)', 'EER class': 'A', 'Product weight': '20.5 Kgs', 'Fan speed': '2', 'Functions': 'Cooling/Heating/Dehumidifier/Fan', 'Moisture Removed': '0.8L/H', 'Certification': 'CB.ce.EMC.GS.RoHS', 'Selling Units:': 'Single item', 'Single package size:': '37X32X88 cm', 'Single gross weight:': '22.000 kg'}","{'216 - 673 pieces': '$120.50', '>= 674 pieces': '$116.85'}","{'1 - 674': '30', '> 674': 'To be negotiated'}"
Best quality AC units Portable Air Conditioners 7000BTU mini Mobile air conditioner,"{'Warranty': '1 Year', 'Cooling/Heating': 'Cooling/Heating', 'Application': 'Hotel, Commercial, Household', 'Power Source': 'Electric', 'App-Controlled': 'Yes', 'Fixed Frequency/Variable Frequency': 'Variable frequency', 'Place of Origin': 'Guangdong, China', 'Capacity (btu)': '7000', 'EER': '2.6', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'logo/pattern': 'Customized', 'Brand Name': 'OEM', 'Model Number': 'A007I-07', 'COP': '2.7', 'Power (W)': '780', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '240', 'Type': 'PORTABLE', 'Operating Language': 'English', 'Remote Control': 'Yes', 'Featured Function': 'Cooling/Heating/Dehumidifier/Fan', 'Recommended Room Size（square feet）': '10-16 m2', 'Private Mold': 'Yes', 'Refrigerant': 'R290 or R410A', 'Application area': '10-16 m2', 'Noise Level': '50dB(A)', 'EER class': 'A', 'Product weight': '20.5 Kgs', 'Fan speed': '2', 'Functions': 'Cooling/Heating/Dehumidifier/Fan', 'Moisture Removed': '0.8L/H', 'Certification': 'CB.ce.EMC.GS.RoHS', 'Selling Units:': 'Single item', 'Single package size:': '37X32X88 cm', 'Single gross weight:': '22.000 kg'}","{'216 - 673 pieces': '$120.50', '>= 674 pieces': '$116.85'}","{'1 - 674': '30', '> 674': 'To be negotiated'}"
Camel 36-Speed Water Cooling Air Fan Portable Commercial Home Air Cooler Heating Air Conditioning Fan Battery Power Source New,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'Yes', 'Place of Origin': 'Zhejiang, China', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'Power Source': 'Battery', 'logo/pattern': '3d printing', 'Brand Name': 'Camel/camel (home appliances)', 'Model Number': 'ZG-NSB-3000/2000', 'Capacity (btu)': '12000', 'COP': '2', 'Dimensions (L x W x H (Inches)': '320*320*994mm', 'EER': '2', 'Power (W)': '2500', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '220.', 'Energy Efficiency Rating': 'Class A+++', 'Operating Language': 'English', 'Timer': 'Yes', 'Featured Function': 'Water mist fan', 'Private Mold': 'Yes', 'Selling Units:': 'Multiple of 500', 'Package size per batch:': '93X25X30 cm', 'Gross weight per batch:': '8.500 kg'}",{},"{'1 - 5000': '15', '> 5000': 'To be negotiated'}"
Camel 36-Speed Water Cooling Air Fan Portable Commercial Home Air Cooler Heating Air Conditioning Fan Battery Power Source New,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'Yes', 'Place of Origin': 'Zhejiang, China', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'Power Source': 'Battery', 'logo/pattern': '3d printing', 'Brand Name': 'Camel/camel (home appliances)', 'Model Number': 'ZG-NSB-3000/2000', 'Capacity (btu)': '12000', 'COP': '2', 'Dimensions (L x W x H (Inches)': '320*320*994mm', 'EER': '2', 'Power (W)': '2500', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '220.', 'Energy Efficiency Rating': 'Class A+++', 'Operating Language': 'English', 'Timer': 'Yes', 'Featured Function': 'Water mist fan', 'Private Mold': 'Yes', 'Selling Units:': 'Multiple of 500', 'Package size per batch:': '93X25X30 cm', 'Gross weight per batch:': '8.500 kg'}",{},"{'1 - 5000': '15', '> 5000': 'To be negotiated'}"
Camel 36-Speed Water Cooling Air Fan Portable Commercial Home Air Cooler Heating Air Conditioning Fan Battery Power Source New,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'Yes', 'Place of Origin': 'Zhejiang, China', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'Power Source': 'Battery', 'logo/pattern': '3d printing', 'Brand Name': 'Camel/camel (home appliances)', 'Model Number': 'ZG-NSB-3000/2000', 'Capacity (btu)': '12000', 'COP': '2', 'Dimensions (L x W x H (Inches)': '320*320*994mm', 'EER': '2', 'Power (W)': '2500', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '220.', 'Energy Efficiency Rating': 'Class A+++', 'Operating Language': 'English', 'Timer': 'Yes', 'Featured Function': 'Water mist fan', 'Private Mold': 'Yes', 'Selling Units:': 'Multiple of 500', 'Package size per batch:': '93X25X30 cm', 'Gross weight per batch:': '8.500 kg'}",{},"{'1 - 5000': '15', '> 5000': 'To be negotiated'}"
Camel 36-Speed Water Cooling Air Fan Portable Commercial Home Air Cooler Heating Air Conditioning Fan Battery Power Source New,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'Yes', 'Place of Origin': 'Zhejiang, China', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'Power Source': 'Battery', 'logo/pattern': '3d printing', 'Brand Name': 'Camel/camel (home appliances)', 'Model Number': 'ZG-NSB-3000/2000', 'Capacity (btu)': '12000', 'COP': '2', 'Dimensions (L x W x H (Inches)': '320*320*994mm', 'EER': '2', 'Power (W)': '2500', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '220.', 'Energy Efficiency Rating': 'Class A+++', 'Operating Language': 'English', 'Timer': 'Yes', 'Featured Function': 'Water mist fan', 'Private Mold': 'Yes', 'Selling Units:': 'Multiple of 500', 'Package size per batch:': '93X25X30 cm', 'Gross weight per batch:': '8.500 kg'}",{},"{'1 - 5000': '15', '> 5000': 'To be negotiated'}"
Camel 36-Speed Water Cooling Air Fan Portable Commercial Home Air Cooler Heating Air Conditioning Fan Battery Power Source New,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'Yes', 'Place of Origin': 'Zhejiang, China', 'Condition': 'New', 'After-sales Service Provided': 'Free spare parts', 'Power Source': 'Battery', 'logo/pattern': '3d printing', 'Brand Name': 'Camel/camel (home appliances)', 'Model Number': 'ZG-NSB-3000/2000', 'Capacity (btu)': '12000', 'COP': '2', 'Dimensions (L x W x H (Inches)': '320*320*994mm', 'EER': '2', 'Power (W)': '2500', 'Power Type': 'AC', 'Use': 'Room', 'Voltage (V)': '220.', 'Energy Efficiency Rating': 'Class A+++', 'Operating Language': 'English', 'Timer': 'Yes', 'Featured Function': 'Water mist fan', 'Private Mold': 'Yes', 'Selling Units:': 'Multiple of 500', 'Package size per batch:': '93X25X30 cm', 'Gross weight per batch:': '8.500 kg'}",{},"{'1 - 5000': '15', '> 5000': 'To be negotiated'}"
Energy Saving 20W Usb Electric Wall Mounted Air Cooler Mini Portable Mobile Air Conditioner For Home Room,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'NO', 'Place of Origin': 'Guangdong, China', 'Condition': 'New', 'After-sales Service Provided': 'Return and Replacement', 'Power Source': 'Battery', 'logo/pattern': 'Silk screen printing', 'Brand Name': 'EDON/OEM', 'Model Number': 'E868', 'Dimensions (L x W x H (Inches)': '13x4x4 inch', 'Power (W)': '20W', 'Power Type': 'DC', 'Use': 'Room', 'Voltage (V)': '5V', 'Energy Efficiency Rating': 'Class A', 'Operating Language': 'English', 'Timer': 'NO', 'Featured Function': 'Spray Water Mist', 'Private Mold': 'Yes', 'Product Name': 'Air Cooling Fan', 'Function': 'Cooling Air', 'Feature': 'Humidify', 'Speed': '3 Adjust Speed', 'Power supply': '6000mAh battery', 'Control': 'Remote control', 'Noise': 'Below 55dB', 'Usage': 'Home+Office+Outdoor', 'Style': 'Modern', 'Color': 'White/Grey', 'Selling Units:': 'Single item', 'Single package size:': '36X15X15 cm', 'Single gross weight:': '3.000 kg'}","{'1000 - 1999 pieces': '$25.60', '>= 2000 pieces': '$24.80'}","{'1 - 1000': '35', '> 1000': 'To be negotiated'}"
Energy Saving 20W Usb Electric Wall Mounted Air Cooler Mini Portable Mobile Air Conditioner For Home Room,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'NO', 'Place of Origin': 'Guangdong, China', 'Condition': 'New', 'After-sales Service Provided': 'Return and Replacement', 'Power Source': 'Battery', 'logo/pattern': 'Silk screen printing', 'Brand Name': 'EDON/OEM', 'Model Number': 'E868', 'Dimensions (L x W x H (Inches)': '13x4x4 inch', 'Power (W)': '20W', 'Power Type': 'DC', 'Use': 'Room', 'Voltage (V)': '5V', 'Energy Efficiency Rating': 'Class A', 'Operating Language': 'English', 'Timer': 'NO', 'Featured Function': 'Spray Water Mist', 'Private Mold': 'Yes', 'Product Name': 'Air Cooling Fan', 'Function': 'Cooling Air', 'Feature': 'Humidify', 'Speed': '3 Adjust Speed', 'Power supply': '6000mAh battery', 'Control': 'Remote control', 'Noise': 'Below 55dB', 'Usage': 'Home+Office+Outdoor', 'Style': 'Modern', 'Color': 'White/Grey', 'Selling Units:': 'Single item', 'Single package size:': '36X15X15 cm', 'Single gross weight:': '3.000 kg'}","{'1000 - 1999 pieces': '$25.60', '>= 2000 pieces': '$24.80'}","{'1 - 1000': '35', '> 1000': 'To be negotiated'}"
Energy Saving 20W Usb Electric Wall Mounted Air Cooler Mini Portable Mobile Air Conditioner For Home Room,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'NO', 'Place of Origin': 'Guangdong, China', 'Condition': 'New', 'After-sales Service Provided': 'Return and Replacement', 'Power Source': 'Battery', 'logo/pattern': 'Silk screen printing', 'Brand Name': 'EDON/OEM', 'Model Number': 'E868', 'Dimensions (L x W x H (Inches)': '13x4x4 inch', 'Power (W)': '20W', 'Power Type': 'DC', 'Use': 'Room', 'Voltage (V)': '5V', 'Energy Efficiency Rating': 'Class A', 'Operating Language': 'English', 'Timer': 'NO', 'Featured Function': 'Spray Water Mist', 'Private Mold': 'Yes', 'Product Name': 'Air Cooling Fan', 'Function': 'Cooling Air', 'Feature': 'Humidify', 'Speed': '3 Adjust Speed', 'Power supply': '6000mAh battery', 'Control': 'Remote control', 'Noise': 'Below 55dB', 'Usage': 'Home+Office+Outdoor', 'Style': 'Modern', 'Color': 'White/Grey', 'Selling Units:': 'Single item', 'Single package size:': '36X15X15 cm', 'Single gross weight:': '3.000 kg'}","{'1000 - 1999 pieces': '$25.60', '>= 2000 pieces': '$24.80'}","{'1 - 1000': '35', '> 1000': 'To be negotiated'}"
Energy Saving 20W Usb Electric Wall Mounted Air Cooler Mini Portable Mobile Air Conditioner For Home Room,"{'Warranty': '1 Year', 'Type': 'PORTABLE', 'Application': 'Household', 'App-Controlled': 'NO', 'Place of Origin': 'Guangdong, China', 'Condition': 'New', 'After-sales Service Provided': 'Return and Replacement', 'Power Source': 'Battery', 'logo/pattern': 'Silk screen printing', 'Brand Name': 'EDON/OEM', 'Model Number': 'E868', 'Dimensions (L x W x H (Inches)': '13x4x4 inch', 'Power (W)': '20W', 'Power Type': 'DC', 'Use': 'Room', 'Voltage (V)': '5V', 'Energy Efficiency Rating': 'Class A', 'Operating Language': 'English', 'Timer': 'NO', 'Featured Function': 'Spray Water Mist', 'Private Mold': 'Yes', 'Product Name': 'Air Cooling Fan', 'Function': 'Cooling Air', 'Feature': 'Humidify', 'Speed': '3 Adjust Speed', 'Power supply': '6000mAh battery', 'Control': 'Remote control', 'Noise': 'Below 55dB', 'Usage': 'Home+Office+Outdoor', 'Style': 'Modern', 'Color': 'White/Grey', 'Selling Units:': 'Single item', 'Single package size:': '36X15X15 cm', 'Single gross weight:': '3.000 kg'}","{'1000 - 1999 pieces': '$25.60', '>= 2000 pieces': '$24.80'}","{'1 - 1000': '35', '> 1000': 'To be negotiated'}"
